gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,TICKER,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
4839,2015/9/30,FORD MOTOR CO,,2015/10/27,2015.5,2015.5,345370860,37996,F,3711,48126,11,USA,114565,219431,191853,38144,38144,30113,2743,5288,3232,2192,529,529,,14078,-16664,7137,0,129,35876,27366,,,9496,39438,86987,94,113,29090,98581,27465,27465,2192,,2056,,5358,0,800,57044,25004,,0,0,3968.63,13.57,,6455,-7714,3396,0,38,10964,7579,,,1825,0
4839,2015/12/31,FORD MOTOR CO,,2016/1/28,2015.75,2015.75,345370860,37996,F,3711,48126,11,USA,118607,224925,196174,40251,40251,32898,3487,3866,1724,1868,502,502,,16170,-26162,14322,0,129,48860,33358,,,8319,42998,89856,94,109,32453,101975,28642,28642,1868,7993,2142,,7196,0,833,57256,24554,6700,0,0,3969.513,14.09,,2092,-9498,7185,0,0,12984,5992,,,1838,0
4839,2016/3/31,FORD MOTOR CO,,2016/4/28,2016,2016,345370860,37996,F,3711,48126,11,USA,122970,237288,207572,37718,37718,29417,4092,4209,3109,2452,556,556,,4092,-6975,4336,0,145,15623,9431,,,9770,47741,93254,95,111,34601,105532,29605,29605,2452,,1100,,1511,0,866,59398,24642,,0,0,3972.835,13.5,,4092,-6975,4336,0,145,15623,9431,,,1511,0
4839,2016/6/30,FORD MOTOR CO,,2016/7/28,2016.25,2016.25,345370860,37996,F,3711,48126,11,USA,126302,239678,208429,39485,39485,31422,4342,3721,2621,1970,552,552,,11834,-12109,3045,0,145,25574,21104,110767,89408,9829,44861,95053,95,108,39297,58588,31141,31141,1970,,1100,,3206,0,919,61408,23416,,0,0,3973.241,12.57,,7742,-5134,-1291,0,0,9951,11673,,,1695,0
4839,2016/9/30,FORD MOTOR CO,,2016/10/27,2016.5,2016.5,345370860,37996,F,3711,48126,11,USA,121546,234963,203368,35943,35943,29468,4146,2329,1129,957,577,577,,16994,-18058,168,0,145,31956,30019,103515,89188,10219,47273,89951,96,111,34165,55785,31484,31484,957,,1200,,4912,0,955,61453,23652,,0,0,3973.715,12.07,,5160,-5949,-2877,0,0,6382,8915,,,1706,0
4839,2016/12/31,FORD MOTOR CO,,2017/1/26,2016.75,2016.75,345370860,37996,F,3711,48126,11,USA,122584,237951,208668,38654,38654,31209,4488,2957,1690,-783,691,691,,19792,-25352,7458,0,145,45961,38797,108461,90281,8898,49669,93301,96,113,38827,57591,29170,29170,-783,9023,1267,,6992,0,989,60901,24395,7300,0,0,3974.297,12.13,,2798,-7294,7290,0,0,14005,8778,,,2080,0
4839,2017/3/31,FORD MOTOR CO,,2017/4/27,2017,2017,345370860,37996,F,3711,48126,11,USA,127458,244094,213356,39146,39146,31500,4252,3394,2194,1592,749,749,,4336,-3639,1120,0,0,13253,11911,113228,91304,10535,49257,96720,97,119,39989,59509,30619,30619,1592,,1200,,1706,0,1029,60582,24583,,0,0,3981.986,11.64,,4336,-3639,1120,0,0,13253,11911,,,1706,0
4839,2017/6/30,FORD MOTOR CO,,2017/7/26,2017.25,2017.25,345370860,37996,F,3711,48126,11,USA,127595,247469,215110,39853,39853,32142,4191,3520,2320,2047,735,735,,9951,-8862,-1038,0,131,20467,19952,113539,94299,11092,50773,95236,97,115,39109,60270,32244,32244,2047,,1200,,3264,0,1068,62391,24840,,0,0,3971.755,11.19,,5615,-5223,-2158,0,131,7214,8041,,,1558,0
4839,2017/9/30,FORD MOTOR CO,,2017/10/26,2017.5,2017.5,345370860,37996,F,3711,48126,11,USA,131298,251273,217913,36451,36451,28975,4369,3107,1807,1572,804,804,,14949,-12542,-1165,0,131,30557,31378,112732,94352,11263,51174,97938,97,122,38081,60041,33238,33238,1572,,1300,,4936,0,1116,63474,24819,,0,0,3972.302,11.97,,4998,-3680,-127,0,0,10090,11426,,,1672,0
4839,2017/12/31,FORD MOTOR CO,,2018/1/24,2017.75,2017.75,345370860,37996,F,3711,48126,11,USA,137682,257808,222792,41326,41326,33741,4588,2997,1734,2520,815,815,,18096,-19392,3394,0,131,45801,40770,115902,94600,10277,51621,102666,98,126,38927,63049,34890,34890,2520,9122,1263,,7049,0,1186,63562,24711,8000,0,0,3973.352,12.49,,3147,-6850,4559,0,0,15244,9392,,,2113,0
4839,2018/3/31,FORD MOTOR CO,,2018/4/25,2018,2018,345370860,37996,F,3711,48126,11,USA,141885,267230,230696,41959,41959,34453,4173,3333,2033,1736,622,622,,3514,-6544,2414,0,89,16953,12360,123264,99878,12371,52983,105351,98,134,40071,67309,36400,36400,1736,,1300,,1779,0,1201,64449,24845,,0,0,3984.954,11.08,,3514,-6544,2414,0,89,16953,12360,,,1779,0
4839,2018/6/30,FORD MOTOR CO,,2018/7/25,2018.25,2018.25,345370860,37996,F,3711,48126,11,USA,138527,258079,221511,38920,38920,31794,4143,2983,1583,1066,584,584,,8486,-9022,-792,0,89,28135,25299,115025,94861,12565,50884,101959,99,127,36476,62622,36441,36441,1066,,1400,,3688,0,1298,64945,24107,,0,0,3985.726,11.07,,4972,-2478,-3206,0,0,11182,12939,,,1909,0
4839,2018/9/30,FORD MOTOR CO,,2018/10/24,2018.5,2018.5,345370860,37996,F,3711,48126,11,USA,139386,258966,222248,37666,37666,30268,4247,3151,1851,991,602,602,,13665,-12595,-648,0,164,37211,33935,114843,94750,12810,50763,102668,99,128,36342,62302,36590,36590,991,,1300,,5669,0,1330,65302,24228,,0,0,3977.903,9.25,,5179,-3573,144,0,75,9076,8636,,,1981,0
4839,2018/12/31,FORD MOTOR CO,,2019/1/16,2018.75,2018.75,345370860,37996,F,3711,48126,11,USA,136786,256540,220474,41793,41793,33579,4374,3840,2440,-116,597,597,,15022,-16261,-122,0,164,50130,44172,114649,95569,11220,53493,100720,100,134,33951,65812,35932,35932,-116,9280,1400,,7785,0,1328,65297,23588,8200,0,0,3978.552,7.65,,1357,-3666,526,0,0,12919,10237,,,2116,0
4839,2019/3/31,FORD MOTOR CO,,2019/4/25,2019,2019,345370860,37996,F,3711,48126,11,USA,140206,263281,226712,40342,40342,31513,4077,4752,2323,1146,647,647,,3544,-1334,1873,0,0,15411,13277,121195,99237,12333,54883,103637,135,171,37730,67734,36398,36398,1146,,2429,,1633,0,1366,66695,23191,,0,0,3989.546,8.78,,3544,-1334,1873,0,0,15411,13277,,,1633,0
4839,2019/6/30,FORD MOTOR CO,,2019/7/24,2019.25,2019.25,345370860,37996,F,3711,48126,11,USA,140362,262184,226048,38853,38853,32357,3992,2504,1204,148,469,469,,10007,-3824,-808,0,0,26233,25767,118351,98334,12437,53178,104226,0,39,38048,64959,36097,36097,148,,1300,,3553,0,1358,67678,23019,,0,0,3989.843,10.23,,6463,-2490,-2681,0,0,10822,12490,,,1920,0
4839,2019/9/30,FORD MOTOR CO,,2019/10/23,2019.5,2019.5,345370860,37996,F,3711,48126,11,USA,135852,258157,222770,36990,36990,30083,3888,3019,1619,425,447,447,,14739,-8371,-2440,0,237,35705,34847,115754,99087,12451,54913,100465,0,38,37331,62045,35349,35349,425,7310,1400,,5358,0,1357,66120,22771,,0,0,3964.897,9.16,,4732,-4547,-1632,0,237,9472,9080,,,1805,0
4839,2019/12/31,FORD MOTOR CO,,2020/2/4,2019.75,2019.75,345370860,37996,F,3711,48126,11,USA,135638,258537,225307,39715,39715,33407,4287,2021,621,-1672,490,490,,17639,-13721,-3129,0,237,47604,46497,114047,98132,10786,54313,102408,0,45,34651,63139,33185,33185,-1672,9689,1400,,7632,0,1328,67114,24277,7400,0,0,3964.93,9.3,,2900,-5350,-689,0,0,11899,11650,2379,,2274,0
4839,2020/3/31,FORD MOTOR CO,,2020/4/28,2020,2020,345370860,37996,F,3711,48126,11,USA,145118,264150,234452,34320,34320,27874,4372,2074,-370,-1993,439,439,,-473,-3114,12454,0,0,26691,12948,124276,94494,11312,53273,115420,0,48,46370,61753,29650,29650,-1993,2444,2444,,1780,,1211,63808,24099,,0,0,3977.04,4.83,,-473,-3114,12454,0,0,26691,12948,2444,,1780,
6066,1962/3/31,INTL BUSINESS MACHINES CORP,,,1962,1962,459200101,51143,IBM,7370,10504,11,USA,,,,453.2,453.2,,,,,56.264,,,,,,,,,,,,,,,,,,,,,,56.264,,,,,,,,,,,,,532.2222,,,,,,,,,,,,
6066,1962/6/30,INTL BUSINESS MACHINES CORP,,,1962.25,1962.25,459200101,51143,IBM,7370,10504,11,USA,,,,478.5,478.5,,,,,60.045,,,,,,,,,,,,,,,,,,,,,,60.045,,,,,,,,,,,,,338.9173,,,,,,,,,,,,
6066,1962/9/30,INTL BUSINESS MACHINES CORP,,,1962.5,1962.5,459200101,51143,IBM,7370,10504,11,USA,,,,467.7,467.7,,,,,59.213,,,,,,,,,,,,,,,,,,,,,,59.213,,,,,,,,,,,,,353.1442,,,,,,,,,,,,
6066,1962/12/31,INTL BUSINESS MACHINES CORP,,,1962.75,1962.75,459200101,51143,IBM,7370,10504,11,USA,,,,525.8,525.8,,,740,461.94,65.865,,,,,,,,,,,,,,,,,,,,,,65.865,,278.06,,,,,,,,,,,389.9996,,,,,,,,,,,,
6066,1963/3/31,INTL BUSINESS MACHINES CORP,,,1963,1963,459200101,51143,IBM,7370,10504,11,USA,,,,666.4,666.4,,,,,78.593,,,,,,,,,,,,,,,,,,,,,,78.593,,,,,,,,,,,,,420.594,,,,,,,,,,,,
6066,1963/6/30,INTL BUSINESS MACHINES CORP,,,1963.25,1963.25,459200101,51143,IBM,7370,10504,11,USA,,,,702,702,,,,,87.551,,,,,,,,,,,,,,,,,,,,,,87.551,,,,,,,,,,,,,435.8194,,,,,,,,,,,,
6066,1963/9/30,INTL BUSINESS MACHINES CORP,,,1963.5,1963.5,459200101,51143,IBM,7370,10504,11,USA,,,,714.6,714.6,,,,,90.284,,,,,,,,,,,,,,,,,,,,,,90.284,,,,,,,,,,,,,451.5634,,,,,,,,,,,,
6066,1963/12/31,INTL BUSINESS MACHINES CORP,,,1963.75,1963.75,459200101,51143,IBM,7370,10504,11,USA,,,,779.7,779.7,,,1213.36,778.62,107.827,,,,,,,,,,,,,,,,,,,,,,107.827,,434.74,,,,,,,,,,,506.9994,,,,,,,,,,,,
