date,tot-value,vol,sharpe,pnl-pt
1981-08-31,99384.217502,0.000028,-94.826503,-3.421014
1981-09-01,99458.334811,0.000028,-83.705970,-2.992625
1981-09-02,99421.055727,0.000014,-178.614754,-3.181012
1981-09-03,99421.055727,0.000014,-178.614754,-3.181012
1981-09-04,99421.055727,0.000014,-178.614754,-3.181012
1981-09-08,99421.055727,0.000014,-178.614754,-3.181012
1981-09-09,99421.055727,0.000014,-178.614754,-3.181012
1981-09-10,99421.055727,0.000014,-178.614754,-3.181012
1981-09-11,99421.055727,0.000014,-178.614754,-3.181012
1981-09-14,99421.055727,0.000014,-178.614754,-3.181012
1981-09-15,99421.055727,0.000014,-178.614754,-3.181012
1981-09-16,99421.055727,0.000014,-178.614754,-3.181012
1981-09-17,99421.055727,0.000014,-178.614754,-3.181012
1981-09-18,99421.055727,0.000014,-178.614754,-3.181012
1981-09-21,99421.055727,0.000014,-178.614754,-3.181012
1981-09-22,99421.055727,0.000014,-178.614754,-3.181012
1981-09-23,99421.055727,0.000014,-178.614754,-3.181012
1981-09-24,99421.055727,0.000014,-178.614754,-3.181012
1981-09-25,99421.055727,0.000014,-178.614754,-3.181012
1981-09-28,99421.055727,0.000014,-178.614754,-3.181012
1981-09-29,99421.055727,0.000014,-178.614754,-3.181012
1981-09-30,99421.055727,0.000014,-178.614754,-3.181012
1981-10-01,99421.055727,0.000014,-178.614754,-3.181012
1981-10-02,99421.055727,0.000014,-178.614754,-3.181012
1981-10-05,99421.055727,0.000014,-178.614754,-3.181012
1981-10-06,99421.055727,0.000014,-178.614754,-3.181012
1981-10-07,99421.055727,0.000014,-178.614754,-3.181012
1981-10-08,99421.055727,0.000014,-178.614754,-3.181012
1981-10-09,99421.055727,0.000014,-178.614754,-3.181012
1981-10-12,99421.055727,0.000014,-178.614754,-3.181012
1981-10-13,99421.055727,0.000014,-178.614754,-3.181012
1981-10-14,99421.055727,0.000014,-178.614754,-3.181012
1981-10-15,99421.055727,0.000014,-178.614754,-3.181012
1981-10-16,99421.055727,0.000014,-178.614754,-3.181012
1981-10-19,99421.055727,0.000014,-178.614754,-3.181012
1981-10-20,99421.055727,0.000014,-178.614754,-3.181012
1981-10-21,99421.055727,0.000014,-178.614754,-3.181012
1981-10-22,99421.055727,0.000014,-178.614754,-3.181012
1981-10-23,99421.055727,0.000014,-178.614754,-3.181012
1981-10-26,99421.055727,0.000014,-178.614754,-3.181012
1981-10-27,99421.055727,0.000014,-178.614754,-3.181012
1981-10-28,99421.055727,0.000014,-178.614754,-3.181012
1981-10-29,99421.055727,0.000014,-178.614754,-3.181012
1981-10-30,99421.055727,0.000014,-178.614754,-3.181012
1981-11-02,99421.055727,0.000014,-178.614754,-3.181012
1981-11-03,99421.055727,0.000014,-178.614754,-3.181012
1981-11-04,99421.055727,0.000014,-178.614754,-3.181012
1981-11-05,99421.055727,0.000014,-178.614754,-3.181012
1981-11-06,99421.055727,0.000014,-178.614754,-3.181012
1981-11-09,99421.055727,0.000014,-178.614754,-3.181012
1981-11-10,99421.055727,0.000014,-178.614754,-3.181012
1981-11-11,99421.055727,0.000014,-178.614754,-3.181012
1981-11-12,99421.055727,0.000014,-178.614754,-3.181012
1981-11-13,99421.055727,0.000014,-178.614754,-3.181012
1981-11-16,99421.055727,0.000014,-178.614754,-3.181012
1981-11-17,99421.055727,0.000014,-178.614754,-3.181012
1981-11-18,99421.055727,0.000014,-178.614754,-3.181012
1981-11-19,99421.055727,0.000014,-178.614754,-3.181012
1981-11-20,99421.055727,0.000014,-178.614754,-3.181012
1981-11-23,99421.055727,0.000014,-178.614754,-3.181012
1981-11-24,99421.055727,0.000014,-178.614754,-3.181012
1981-11-25,99421.055727,0.000014,-178.614754,-3.181012
1981-11-27,99421.055727,0.000014,-178.614754,-3.181012
1981-11-30,99421.055727,0.000014,-178.614754,-3.181012
1981-12-01,99421.055727,0.000014,-178.614754,-3.181012
1981-12-02,99421.055727,0.000014,-178.614754,-3.181012
1981-12-03,99421.055727,0.000014,-178.614754,-3.181012
1981-12-04,99421.055727,0.000014,-178.614754,-3.181012
1981-12-07,99421.055727,0.000014,-178.614754,-3.181012
1981-12-08,99421.055727,0.000014,-178.614754,-3.181012
1981-12-09,99421.055727,0.000014,-178.614754,-3.181012
1981-12-10,99421.055727,0.000014,-178.614754,-3.181012
1981-12-11,99421.055727,0.000014,-178.614754,-3.181012
1981-12-14,99421.055727,0.000014,-178.614754,-3.181012
1981-12-15,99421.055727,0.000014,-178.614754,-3.181012
1981-12-16,99421.055727,0.000014,-178.614754,-3.181012
1981-12-17,99421.055727,0.000014,-178.614754,-3.181012
1981-12-18,99421.055727,0.000014,-178.614754,-3.181012
1981-12-21,99421.055727,0.000014,-178.614754,-3.181012
1981-12-22,99421.055727,0.000014,-178.614754,-3.181012
1981-12-23,99421.055727,0.000014,-178.614754,-3.181012
1981-12-24,99421.055727,0.000014,-178.614754,-3.181012
1981-12-28,99421.055727,0.000014,-178.614754,-3.181012
1981-12-29,99421.055727,0.000014,-178.614754,-3.181012
1981-12-30,99421.055727,0.000014,-178.614754,-3.181012
1981-12-31,99421.055727,0.000014,-178.614754,-3.181012
1982-01-04,99421.055727,0.000014,-178.614754,-3.181012
1982-01-05,99421.055727,0.000014,-178.614754,-3.181012
1982-01-06,99421.055727,0.000014,-178.614754,-3.181012
1982-01-07,99421.055727,0.000014,-178.614754,-3.181012
1982-01-08,99421.055727,0.000014,-178.614754,-3.181012
1982-01-11,99421.055727,0.000014,-178.614754,-3.181012
1982-01-12,99421.055727,0.000014,-178.614754,-3.181012
1982-01-13,99421.055727,0.000014,-178.614754,-3.181012
1982-01-14,99421.055727,0.000014,-178.614754,-3.181012
1982-01-15,99421.055727,0.000014,-178.614754,-3.181012
1982-01-18,99421.055727,0.000014,-178.614754,-3.181012
1982-01-19,99421.055727,0.000014,-178.614754,-3.181012
1982-01-20,99421.055727,0.000014,-178.614754,-3.181012
1982-01-21,99421.055727,0.000014,-178.614754,-3.181012
1982-01-22,99421.055727,0.000014,-178.614754,-3.181012
1982-01-25,99421.055727,0.000014,-178.614754,-3.181012
1982-01-26,99421.055727,0.000014,-178.614754,-3.181012
1982-01-27,99421.055727,0.000014,-178.614754,-3.181012
1982-01-28,99421.055727,0.000014,-178.614754,-3.181012
1982-01-29,99421.055727,0.000014,-178.614754,-3.181012
1982-02-01,99421.055727,0.000014,-178.614754,-3.181012
1982-02-02,99421.055727,0.000014,-178.614754,-3.181012
1982-02-03,99421.055727,0.000014,-178.614754,-3.181012
1982-02-04,99421.055727,0.000014,-178.614754,-3.181012
1982-02-05,99421.055727,0.000014,-178.614754,-3.181012
1982-02-08,99421.055727,0.000014,-178.614754,-3.181012
1982-02-09,99421.055727,0.000014,-178.614754,-3.181012
1982-02-10,99421.055727,0.000014,-178.614754,-3.181012
1982-02-11,99421.055727,0.000014,-178.614754,-3.181012
1982-02-12,99421.055727,0.000014,-178.614754,-3.181012
1982-02-16,99421.055727,0.000014,-178.614754,-3.181012
1982-02-17,99421.055727,0.000014,-178.614754,-3.181012
1982-02-18,99421.055727,0.000014,-178.614754,-3.181012
1982-02-19,99421.055727,0.000014,-178.614754,-3.181012
1982-02-22,99421.055727,0.000014,-178.614754,-3.181012
1982-02-23,99421.055727,0.000014,-178.614754,-3.181012
1982-02-24,99421.055727,0.000014,-178.614754,-3.181012
1982-02-25,99421.055727,0.000014,-178.614754,-3.181012
1982-02-26,99421.055727,0.000014,-178.614754,-3.181012
1982-03-01,99421.055727,0.000014,-178.614754,-3.181012
1982-03-02,99421.055727,0.000014,-178.614754,-3.181012
1982-03-03,99421.055727,0.000014,-178.614754,-3.181012
1982-03-04,99421.055727,0.000014,-178.614754,-3.181012
1982-03-05,99421.055727,0.000014,-178.614754,-3.181012
1982-03-08,99421.055727,0.000014,-178.614754,-3.181012
1982-03-09,99421.055727,0.000014,-178.614754,-3.181012
1982-03-10,99421.055727,0.000014,-178.614754,-3.181012
1982-03-11,99421.055727,0.000014,-178.614754,-3.181012
1982-03-12,99421.055727,0.000014,-178.614754,-3.181012
1982-03-15,99421.055727,0.000014,-178.614754,-3.181012
1982-03-16,99421.055727,0.000014,-178.614754,-3.181012
1982-03-17,99421.055727,0.000014,-178.614754,-3.181012
1982-03-18,99421.055727,0.000014,-178.614754,-3.181012
1982-03-19,99421.055727,0.000014,-178.614754,-3.181012
1982-03-22,99421.055727,0.000014,-178.614754,-3.181012
1982-03-23,99421.055727,0.000014,-178.614754,-3.181012
1982-03-24,99421.055727,0.000014,-178.614754,-3.181012
1982-03-25,99421.055727,0.000014,-178.614754,-3.181012
1982-03-26,99421.055727,0.000014,-178.614754,-3.181012
1982-03-29,99421.055727,0.000014,-178.614754,-3.181012
1982-03-30,99421.055727,0.000014,-178.614754,-3.181012
1982-03-31,99421.055727,0.000014,-178.614754,-3.181012
1982-04-01,99421.055727,0.000014,-178.614754,-3.181012
1982-04-02,99421.055727,0.000014,-178.614754,-3.181012
1982-04-05,99421.055727,0.000014,-179.284981,-3.163630
1982-04-06,99419.944890,0.000014,-180.259036,-3.152473
1982-04-07,99421.059391,0.000014,-180.496195,-3.129409
1982-04-08,99417.704542,0.000014,-181.718364,-3.130621
1982-04-12,99418.828444,0.000014,-182.520081,-3.107869
1982-04-13,99416.013855,0.000014,-183.771130,-3.106309
1982-04-14,99426.078694,0.000014,-175.061867,-3.036621
1982-04-15,99428.013089,0.000014,-181.380536,-3.010457
1982-04-16,99430.216459,0.000014,-181.238333,-2.983160
1982-04-19,99417.739661,0.000014,-177.013979,-3.032606
1982-04-20,99428.848380,0.000014,-175.372470,-2.959335
1982-04-21,99440.908781,0.000014,-170.993543,-2.881914
1982-04-22,99450.666444,0.000014,-171.467753,-2.817095
1982-04-23,99478.377064,0.000017,-135.314111,-2.661342
1982-04-26,99463.547291,0.000014,-162.576974,-2.723110
1982-04-27,99455.529289,0.000014,-174.034463,-2.749852
1982-04-28,99451.232864,0.000013,-178.726869,-2.757624
1982-04-29,99451.232864,0.000013,-180.370487,-2.743836
1982-04-30,99484.753565,0.000018,-125.927277,-2.563415
1982-05-03,99519.398805,0.000018,-116.088814,-2.379214
1982-05-04,99514.235057,0.000013,-159.809775,-2.392931
1982-05-05,99519.657589,0.000013,-158.094205,-2.354620
1982-05-06,99502.566205,0.000014,-151.413438,-2.426506
1982-05-07,99460.251211,0.000020,-119.985999,-2.620140
1982-05-10,99491.884869,0.000017,-129.845034,-2.454662
1982-05-11,99530.785949,0.000019,-109.148827,-2.255837
1982-05-12,99497.121688,0.000017,-126.685120,-2.406116
1982-05-13,99504.155136,0.000013,-165.140064,-2.361166
1982-05-14,99482.209873,0.000015,-152.323019,-2.453982
1982-05-17,99459.275850,0.000015,-157.717272,-2.550586
